subjectID,otherID,answerType,_experimentState,answerValue,participantType,timestamp
nono,dada,selfOther,curtainDown,1,leader,3/30/2023 3:35:37 PM
nono,dada,boundaries,curtainDown,0.3783341,leader,3/30/2023 3:35:43 PM
nono,dada,sync1Frequency,curtainDown,0.3056765,leader,3/30/2023 3:35:48 PM
nono,dada,sync1Intensity,curtainDown,0.2661145,leader,3/30/2023 3:35:54 PM
subjectID,otherID,answerType,_experimentState,answerValue,participantType,timestamp
nono,dada,selfOther,curtainDown,1,leader,3/30/2023 4:00:08 PM
nono,dada,boundaries,curtainDown,0.3809548,leader,3/30/2023 4:00:14 PM
nono,dada,sync1Frequency,curtainDown,0.3268208,leader,3/30/2023 4:00:20 PM
nono,dada,sync1Intensity,curtainDown,0.030648,leader,3/30/2023 4:00:27 PM
nono,dada,boundaries,curtainDown,0.03118248,leader,3/30/2023 4:00:33 PM
nono,dada,boundaries,curtainDown,0.02653011,leader,3/30/2023 4:00:39 PM
nono,dada,boundaries,curtainDown,0.02461456,leader,3/30/2023 4:00:45 PM
nono,dada,boundaries,curtainDown,0.04065838,leader,3/30/2023 4:00:52 PM
nono,dada,boundaries,curtainDown,0.0137627,leader,3/30/2023 4:01:00 PM
nono,dada,boundaries,curtainDown,0.02666721,leader,3/30/2023 4:01:06 PM
nono,dada,selfOther,curtainDown,4,leader,3/30/2023 4:01:30 PM
nono,dada,boundaries,curtainDown,0.1887819,leader,3/30/2023 4:01:37 PM
nono,dada,sync1Frequency,curtainDown,0.130694,leader,3/30/2023 4:02:44 PM
nono,dada,sync1Intensity,curtainDown,0.09934128,leader,3/30/2023 4:02:50 PM
nono,dada,boundaries,curtainDown,0.08333568,leader,3/30/2023 4:02:56 PM
nono,dada,boundaries,curtainDown,0.05909542,leader,3/30/2023 4:03:02 PM
nono,dada,boundaries,curtainDown,0.09460244,leader,3/30/2023 4:03:08 PM
nono,dada,boundaries,curtainDown,0.0859766,leader,3/30/2023 4:03:14 PM
nono,dada,boundaries,curtainDown,0.07688763,leader,3/30/2023 4:03:21 PM
nono,dada,boundaries,curtainDown,0.1012833,leader,3/30/2023 4:03:50 PM
subjectID,otherID,answerType,_experimentState,answerValue,participantType,timestamp
nono,dada,selfOther,curtainDown,1,leader,3/30/2023 4:19:10 PM
nono,dada,boundaries,curtainDown,0.06974422,leader,3/30/2023 4:19:17 PM
nono,dada,selfOther,curtainDown,5,leader,3/30/2023 4:19:26 PM
nono,dada,boundaries,curtainDown,0.0506382,leader,3/30/2023 4:19:32 PM
nono,dada,sync1Frequency,curtainDown,0.05201035,leader,3/30/2023 4:19:39 PM
nono,dada,sync1Intensity,curtainDown,0.1422677,leader,3/30/2023 4:19:45 PM
nono,dada,sync2Frequency,curtainDown,0.06491485,leader,3/30/2023 4:19:51 PM
nono,dada,sync2Intensity,curtainDown,0.04120266,leader,3/30/2023 4:19:57 PM
nono,dada,sync3Frequency,curtainDown,0.08602981,leader,3/30/2023 4:20:03 PM
nono,dada,sync3Intensity,curtainDown,0.06987694,leader,3/30/2023 4:20:08 PM
nono,dada,sync4Frequency,curtainDown,0.09921642,leader,3/30/2023 4:20:14 PM
nono,dada,sync4Intensity,curtainDown,0.01768883,leader,3/30/2023 4:20:23 PM
